Condition,Replicate,Condition_replicate,Sample,RRmean_absolute,RRmean_relative_NS_Condition,RRmean_relative_NS_rep,PixelCount,Area,Perimeter,Length_mm,AverageThickness,InscrDisc.Radius,Circularity,MaxFeretDiam,MaxFeretDiamAngle,Tortuosity
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-1,231.68,1.07947652707841,1.05805897692346,80357,3171926.464,29034.759,14.351144,219.06,138.22,0.047,13858.771,87.09,1.036
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-10,221.099,1.03017602149736,1.00973662698032,79953,3155979.399,26757.646,13.45648,232.096,169.634,0.055,13332.421,90.459,1.009
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-11,213.422,0.994406247246752,0.97467654943439,73653,2907299.922,26560.378,13.064437,216.922,138.22,0.052,12647.549,95.73,1.033
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-12,215.846,1.00570049405976,0.985746710691565,72820,2874418.969,25874.265,12.816897,219.559,138.22,0.054,12199.322,99.516,1.051
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-13,226.851,1.05697656096453,1.03600542547507,80667,3184163.073,26669.474,13.114699,241.751,157.069,0.056,12778.098,78.082,1.026
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-14,216.631,1.0093580781143,0.989331725785164,55598,2194616.12,20366.976,10.234687,217.562,125.655,0.066,10041.79,80.856,1.019
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-15,245.372,1.14327224793803,1.12058894719296,71422,2819235.809,27808.541,13.71156,201.467,150.786,0.046,13383.621,85.989,1.025
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-16,219.067,1.02070823704025,1.00045668982084,80400,3173623.8,26413.747,12.995327,240.381,150.786,0.057,12761.741,81.906,1.018
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-17,219.452,1.02250208399694,1.00221494563108,73168,2888155.55,26987.94,13.28936,215.273,144.503,0.05,13026.14,77.606,1.02
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-18,214.225,0.998147699470699,0.978343768695739,62164,2453795.397,23585.7,11.551551,214.459,125.655,0.055,11091.564,81.498,1.041
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-19,221.85,1.03367518789859,1.01316636753483,65962,2603713.596,24350.491,11.596787,213.674,125.655,0.055,11316.877,83.881,1.025
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-2,226.292,1.05437198837028,1.03345252937657,91364,3606405.036,30665.252,15.03345,233.89,157.069,0.048,14416.915,94.374,1.043
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-21,219.292,1.02175658915779,1.00148424191773,80836,3190833.999,27631.361,13.528104,231.177,138.22,0.053,13068.435,78.323,1.035
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-22,212.538,0.99028738826049,0.970639411418159,50324,1986435.872,18670.136,9.0573,217.044,131.938,0.072,8377.791,88.496,1.081
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-23,225.951,1.05278315249436,1.03189521708751,54537,2152735.338,19291.537,9.561177,219.997,163.351,0.073,9399.064,92.107,1.017
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-24,238.44,1.11097368403218,1.08893120881229,44260,1747072.007,14529.25,7.162423,243.208,138.22,0.104,7082.542,91.322,1.011
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-25,222.973,1.03890762980082,1.01829499422287,52406,2068618.518,19069.058,9.279709,220.604,138.22,0.071,9071.08,78.737,1.023
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-29,221.375,1.03146200009488,1.01099709088584,45428,1793176.393,16103.292,7.842217,217.147,157.069,0.087,7721.866,87.622,1.016
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-3,220.717,1.02839615256891,1.00799207186471,92044,3633246.63,30039.139,14.628842,241.004,163.351,0.051,13817.892,95.558,1.059
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-7,234.435,1.09231301633989,1.07064078148762,76638,3025126.627,25878.267,12.625901,230.408,175.917,0.057,12374.218,83.03,1.02
arp-2,rep_1,arp-2-rep_1,arp-2-Stained-rep_1-9,221.292,1.03107527464708,1.01061803833454,91887,3627049.38,29865.363,14.54591,241.939,144.503,0.051,12723.51,82.538,1.143
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-1,229.946,1.0713972267592,1.06701994867821,80516,3178202.66,28875.128,14.116169,220.331,131.938,0.048,13101.675,86.756,1.077
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-10,224.799,1.04741558965253,1.04313629044607,78504,3098783.12,27110.327,13.406218,223.394,138.22,0.053,13115.209,87.831,1.022
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-11,222.386,1.03617259560971,1.03193923054435,80073,3160716.151,26908.928,13.231559,233.889,138.22,0.055,12607.76,91.542,1.049
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-12,218.865,1.01976704980583,1.01560071089498,69841,2756829.102,24628.737,12.42988,223.543,131.938,0.057,12277.993,94.196,1.012
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-13,219.108,1.02089927009278,1.01672830540642,44760,1766808.474,18123.48,9.010808,194.331,125.655,0.068,8760.335,84.98,1.029
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-14,230.576,1.07433261268832,1.06994334185603,58436,2306640.303,20051.093,9.76725,236.227,138.22,0.072,9557.649,77.124,1.022
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-2,216.683,1.00960036393703,1.00547556182513,80546,3179386.848,28588.837,14.388841,218.257,131.938,0.049,14275.695,88.134,1.008
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-3,217.232,1.01215834310383,1.0080230901658,91032,3593300.022,30649.645,15.130205,238.127,131.938,0.048,14441.203,82.148,1.048
arp-2,rep_2,arp-2-rep_2,arp-2-Stained-rep_2-4,230.822,1.0754788110035,1.07108485728737,91643,3617417.984,30832.468,15.204342,237.721,169.634,0.048,14202.083,88.809,1.071
