Condition,Staining,Replicate,Label,Sample,Condition_staining,Sample_replicate,Condition_replicate,PixelCount,Area,Perimeter,Length_mm,AverageThickness,InscrDisc.Radius,Circularity,RRmean_absolute,MaxFeretDiam,MaxFeretDiamAngle,Tortuosity,RRmean_NS_Condition,RRmean_NS_rep,RRmean_relative_NS_Condition,RRmean_relative_NS_rep
arp-2,NonStained,rep_1,1,arp-2-NonStained-rep_1-1,arp-2-NonStained,arp-2-NonStained-rep_1,arp-2-rep_1,18782,741380.625,6949.213,3.417905,218.429,131.938,0.193,215.582,3365.847,95.785,1.015,214.622545454545,218.967,NA,NA
arp-2,NonStained,rep_1,2,arp-2-NonStained-rep_1-2,arp-2-NonStained,arp-2-NonStained-rep_1,arp-2-rep_1,93414,3687324.548,29723.985,14.986958,239.63,150.786,0.052,237.666,14765.878,84.653,1.015,214.622545454545,218.967,NA,NA
arp-2,NonStained,rep_1,4,arp-2-NonStained-rep_1-4,arp-2-NonStained,arp-2-NonStained-rep_1,arp-2-rep_1,65095,2569490.563,21623.418,10.835318,234.862,163.351,0.069,203.346,10692.825,85.214,1.013,214.622545454545,218.967,NA,NA
arp-2,NonStained,rep_1,5,arp-2-NonStained-rep_1-5,arp-2-NonStained,arp-2-NonStained-rep_1,arp-2-rep_1,40714,1607100.988,13837.048,6.805563,240.388,138.22,0.105,211.719,6683.797,104.702,1.018,214.622545454545,218.967,NA,NA
arp-2,NonStained,rep_1,6,arp-2-NonStained-rep_1-6,arp-2-NonStained,arp-2-NonStained-rep_1,arp-2-rep_1,46002,1815833.856,13306.708,6.491426,275.914,188.482,0.129,226.522,6366.285,102.829,1.02,214.622545454545,218.967,NA,NA
arp-2,NonStained,rep_2,1,arp-2-NonStained-rep_2-1,arp-2-NonStained,arp-2-NonStained-rep_2,arp-2-rep_2,88569,3496078.189,29550.022,14.723083,229.496,144.503,0.05,223.133,14546.538,88.069,1.012,214.622545454545,215.503,NA,NA
arp-2,NonStained,rep_2,2,arp-2-NonStained-rep_2-2,arp-2-NonStained,arp-2-NonStained-rep_2,arp-2-rep_2,85913,3391238.079,28584.441,14.357427,235.36,138.22,0.052,216.387,14196.489,88.681,1.011,214.622545454545,215.503,NA,NA
arp-2,NonStained,rep_2,3,arp-2-NonStained-rep_2-3,arp-2-NonStained,arp-2-NonStained-rep_2,arp-2-rep_2,74724,2949575.433,26877.936,13.224018,218.537,138.22,0.051,206.989,12696.815,83.779,1.042,214.622545454545,215.503,NA,NA
arp-2,NonStained,rep_3,1,arp-2-NonStained-rep_3-1,arp-2-NonStained,arp-2-NonStained-rep_3,arp-2-rep_3,95518,3790161.82,28661.789,14.299303,263.649,157.48,0.058,204.911,14043.934,91.182,1.018,214.622545454545,206.501333333333,NA,NA
arp-2,NonStained,rep_3,2,arp-2-NonStained-rep_3-2,arp-2-NonStained,arp-2-NonStained-rep_3,arp-2-rep_3,64589,2562896.646,23950.18,12.015208,217.773,125.984,0.056,211.839,11682.28,94.02,1.028,214.622545454545,206.501333333333,NA,NA
