Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,80357,3171926.464,29034.759,0.047,1,8902.655,10756.066,684.820,14525.715,9642.377,7688.262,9642.377,7688.262,7784.416,842.147,87.272,9.244,13343627.582,0.238,13858.771,87.090,9685.236,7637.554,13858.589,1514.468,87.383,14351.144,1.036,9600.040,3813.629,138.220,219.060,51.914
2,91364,3606405.036,30665.252,0.048,0,12175.967,14582.260,961.261,15336.190,13753.463,8032.698,13753.463,8032.698,8304.042,829.804,-84.166,10.007,17876264.987,0.202,14416.915,94.374,13550.604,8203.475,14416.186,1804.322,93.797,15033.450,1.043,14217.861,3643.994,157.069,233.890,47.856
3,92044,3633246.630,30039.139,0.051,1,58215.951,61212.822,1036.654,14789.591,60222.933,8337.453,60222.933,8337.453,8046.495,1379.526,-85.818,5.833,21529879.650,0.169,13817.892,95.558,60062.077,8015.635,13817.879,2390.794,95.636,14628.842,1.059,58454.695,14525.715,163.351,241.004,44.777
4,5,197.365,64.499,0.596,1,6339.294,6345.576,1080.633,1112.047,6342.435,1096.340,6342.435,1096.340,17.829,1.447,90.000,12.320,197.365,1.000,32.036,78.690,6342.435,1096.340,31.414,6.283,90.000,34.016,1.062,6339.294,1080.633,6.283,11.565,2.707
5,4,157.892,52.586,0.718,1,6333.011,6339.294,1143.460,1168.591,6336.152,1156.026,6336.152,1156.026,14.123,1.447,90.000,9.759,157.892,1.000,25.904,75.964,6336.152,1156.026,25.131,6.283,90.000,27.733,1.071,6333.011,1143.460,6.283,11.565,2.207
6,15,592.094,122.019,0.500,1,6559.190,6578.038,1231.419,1287.964,6566.939,1258.435,6566.939,1258.435,29.297,6.640,-78.751,4.412,671.040,0.882,57.924,102.529,6566.212,1259.876,57.904,18.285,104.036,60.404,1.043,6565.473,1231.419,6.283,11.565,4.807
7,76638,3025126.627,25878.267,0.057,0,23484.915,25357.174,1256.550,13539.324,24096.230,7800.766,24096.230,7800.766,7144.956,473.328,82.875,15.095,9175246.401,0.330,12374.218,83.030,24110.728,7447.068,12374.218,1035.357,83.022,12625.901,1.020,25118.430,13357.124,175.917,230.408,35.886
8,1,39.473,16.847,1.748,1,6552.907,6559.190,1287.964,1294.246,6556.048,1291.105,6556.048,1291.105,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,6556.048,1291.105,6.283,6.283,0.000,8.885,1.000,6552.907,1287.964,6.283,11.565,0.707
9,91887,3627049.380,29865.363,0.051,1,46090.245,50035.812,1294.246,13910.006,48827.502,7322.033,48827.502,7322.033,7684.008,1814.489,86.995,4.235,28378946.646,0.128,12723.510,82.538,48519.538,7409.676,12723.111,3337.538,82.991,14545.910,1.143,48942.613,11095.334,144.503,241.939,50.331
10,79953,3155979.399,26757.646,0.055,1,17610.545,18251.385,1344.508,14676.501,17891.404,8231.249,17891.404,8231.249,7551.800,206.712,-89.631,36.533,6388773.126,0.494,13332.421,90.459,17920.913,8009.465,13332.331,604.512,90.249,13456.480,1.009,17773.896,9914.178,169.634,232.096,39.663
11,73653,2907299.922,26560.378,0.052,1,61589.787,63663.094,1394.770,13979.116,63045.980,8111.364,63045.980,8111.364,7324.799,850.578,-87.055,8.612,13670463.465,0.213,12647.549,95.730,62969.692,7751.410,12647.229,1630.939,95.323,13064.437,1.033,63122.777,11095.334,138.220,216.922,47.259
12,72820,2874418.969,25874.265,0.054,1,51480.844,54044.205,1583.253,13620.999,52130.821,7591.043,52130.821,7591.043,7146.331,925.487,-86.239,7.722,14670549.692,0.196,12199.322,99.516,52234.028,7482.903,12198.405,1790.989,98.813,12816.897,1.051,52127.967,11013.659,138.220,219.559,46.364
13,80667,3184163.073,26669.474,0.056,1,33581.292,36722.667,1608.384,14111.054,35328.219,8056.007,35328.219,8056.007,7317.186,306.769,75.263,23.852,8092859.109,0.393,12778.098,78.082,35283.515,7788.914,12778.072,967.631,78.198,13114.699,1.026,34121.609,3643.994,157.069,241.751,41.748
14,55598,2194616.120,20366.976,0.066,1,68858.927,70605.531,1614.666,11528.844,69654.207,6792.551,69654.207,6792.551,5772.496,145.141,80.866,39.772,3508591.108,0.625,10041.790,80.856,69656.012,6583.803,10041.750,376.752,81.018,10234.687,1.019,69996.105,9072.289,125.655,217.562,40.725
15,71422,2819235.809,27808.541,0.046,0,75103.979,76812.887,1664.928,15015.770,75637.217,8725.854,75637.217,8725.854,7659.569,606.105,84.456,12.637,11495149.610,0.245,13383.621,85.989,75695.167,8379.036,13382.739,1220.287,85.331,13711.560,1.025,75405.551,10278.577,150.786,201.467,45.467
16,80400,3173623.800,26413.747,0.057,1,38073.458,40096.503,1746.604,14381.212,39239.663,8293.579,39239.663,8293.579,7347.051,405.552,79.916,18.116,9214640.388,0.344,12761.741,81.906,39186.350,8051.333,12761.109,926.141,81.335,12995.327,1.018,39895.455,13822.047,150.786,240.381,43.092
17,73168,2888155.550,26987.940,0.050,1,2732.996,5786.412,1752.887,14475.453,4045.195,8345.035,4045.195,8345.035,7407.831,442.804,75.595,16.729,8405326.846,0.344,13026.140,77.606,3986.358,8188.962,13026.002,954.197,77.343,13289.360,1.020,4328.814,9882.764,144.503,215.273,45.983
18,62164,2453795.397,23585.700,0.055,1,70825.428,73313.396,1922.521,12892.201,71847.166,7561.212,71847.166,7561.212,6406.818,643.860,77.860,9.951,9598475.187,0.256,11091.564,81.498,71875.361,7490.297,11091.213,1360.242,81.954,11551.551,1.041,72716.535,10906.852,125.655,214.459,45.965
19,65962,2603713.596,24350.491,0.055,1,722.516,2494.251,1991.631,13244.035,1840.715,7681.676,1840.715,7681.676,6394.466,509.362,83.032,12.554,8278697.677,0.315,11316.877,83.881,1746.729,7583.138,11316.541,966.857,83.440,11596.787,1.025,2054.459,7137.203,125.655,213.674,46.145
20,2,78.946,28.760,1.199,1,7130.920,7137.203,2104.721,2117.286,7134.061,2111.004,7134.061,2111.004,6.447,1.447,90.000,4.455,78.946,1.000,14.049,63.435,7134.061,2111.004,12.565,6.283,90.000,15.168,1.080,7130.920,2104.721,6.283,11.565,1.207
21,80836,3190833.999,27631.361,0.053,-2,41252.529,44676.627,2161.266,14959.225,43686.101,8572.326,43686.101,8572.326,7416.681,1002.810,76.885,7.396,15827343.462,0.202,13068.435,78.323,43457.427,8391.048,13068.196,1793.520,77.977,13528.104,1.035,44475.579,9964.440,138.220,231.177,48.937
22,50324,1986435.872,18670.136,0.072,1,65064.147,66879.861,2682.734,11057.638,65864.784,7098.963,65864.784,7098.963,4795.065,958.495,-87.159,5.003,9321296.252,0.213,8377.791,88.496,65940.440,6879.842,8376.963,1778.499,89.301,9057.300,1.081,65202.367,7652.388,131.938,217.044,34.324
23,54537,2152735.338,19291.537,0.073,1,20274.430,21059.774,2745.561,12138.271,20657.810,7376.899,20657.810,7376.899,5252.807,242.456,-86.665,21.665,4152631.481,0.518,9399.064,92.107,20666.983,7448.407,9399.058,613.830,92.042,9561.177,1.017,20431.499,9882.764,163.351,219.997,29.266
24,44260,1747072.007,14529.250,0.104,1,55036.880,55778.244,4247.138,11327.796,55385.555,7861.694,55385.555,7861.694,3966.894,285.685,-86.508,13.886,3516998.843,0.497,7082.542,91.322,55388.651,7784.461,7081.877,633.162,92.106,7162.423,1.011,55181.383,8406.318,138.220,243.208,25.909
25,52406,2068618.518,19069.058,0.071,1,31024.214,33116.369,4366.510,13262.883,32082.420,8943.241,32082.420,8943.241,5178.922,339.361,75.013,15.261,5810415.714,0.356,9071.080,78.737,32053.681,8842.063,9067.739,800.189,77.182,9279.709,1.023,32406.418,9933.026,138.220,220.604,33.569
26,6,236.838,76.411,0.510,1,7388.513,7394.795,4586.407,4624.103,7391.654,4605.255,7391.654,4605.255,21.508,1.447,90.000,14.863,236.838,1.000,38.216,80.538,7391.654,4605.255,37.696,6.283,90.000,40.299,1.054,7388.513,4586.407,6.283,11.565,3.207
27,22,868.405,260.039,0.161,1,7375.947,7388.513,4661.800,4793.737,7383.087,4728.625,7383.087,4728.625,74.926,3.832,-86.251,19.551,1223.661,0.710,132.535,95.440,7382.230,4727.768,131.938,12.565,90.000,135.797,1.025,7382.230,4661.800,6.283,11.565,10.807
28,4,157.892,52.586,0.718,1,7369.664,7375.947,4818.868,4843.999,7372.806,4831.434,7372.806,4831.434,14.123,1.447,90.000,9.759,157.892,1.000,25.904,75.964,7372.806,4831.434,25.131,6.283,90.000,27.733,1.071,7369.664,4818.868,6.283,11.565,2.207
29,45428,1793176.393,16103.292,0.087,1,28234.673,28919.493,5139.289,12854.504,28607.327,9072.229,28607.327,9072.229,4388.149,179.665,86.968,24.424,3042060.515,0.589,7721.866,87.622,28610.843,8996.160,7721.628,437.489,87.172,7842.217,1.016,28712.162,9901.612,157.069,217.147,24.964
30,4,157.892,52.586,0.718,1,7614.692,7620.974,6622.017,6647.148,7617.833,6634.583,7617.833,6634.583,14.123,1.447,90.000,9.759,157.892,1.000,25.904,75.964,7617.833,6634.583,25.131,6.283,90.000,27.733,1.071,7614.692,6622.017,6.283,11.565,2.207
31,27,1065.769,176.649,0.429,1,7595.843,7614.692,6647.148,6728.824,7607.129,6696.829,7607.129,6696.829,43.131,8.636,-84.093,4.994,1223.661,0.871,83.822,102.995,7605.267,6687.986,81.676,18.848,90.000,86.791,1.035,7602.126,6703.693,12.565,14.231,3.454
32,34,1342.080,355.341,0.134,1,7313.120,7325.685,7727.781,7909.981,7319.218,7817.957,7319.218,7817.957,97.565,4.233,-87.149,23.047,1776.282,0.756,182.632,93.945,7319.402,7818.881,182.200,12.565,90.000,186.059,1.019,7319.402,7727.781,6.283,11.565,14.807
33,1,39.473,16.847,1.748,1,7734.064,7740.347,10121.508,10127.791,7737.205,10124.650,7737.205,10124.650,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,7737.205,10124.650,6.283,6.283,0.000,8.885,1.000,7734.064,10121.508,6.283,11.565,0.707
34,6,236.838,76.411,0.510,1,7727.781,7734.064,10159.205,10196.901,7730.922,10178.053,7730.922,10178.053,21.508,1.447,90.000,14.863,236.838,1.000,38.216,80.538,7730.922,10178.053,37.696,6.283,90.000,40.299,1.054,7727.781,10159.205,6.283,11.565,3.207
35,53,2092.065,460.513,0.124,1,7702.650,7727.781,10203.184,10435.646,7715.630,10318.467,7715.630,10318.467,124.466,5.730,-85.046,21.724,3078.889,0.679,233.816,96.170,7714.649,10319.363,233.782,17.633,95.194,238.834,1.021,7721.498,10203.184,6.283,11.565,19.007
36,39,1539.444,191.452,0.528,1,66967.820,66999.234,11120.465,11208.424,66978.372,11160.659,66978.372,11160.659,40.545,13.986,-85.775,2.899,1578.917,0.975,88.183,85.914,66983.527,11164.445,87.958,31.414,90.000,90.561,1.027,66974.103,11139.314,12.565,16.951,3.604
37,2,78.946,28.760,1.199,1,66961.537,66967.820,11214.707,11227.272,66964.678,11220.989,66964.678,11220.989,6.447,1.447,90.000,4.455,78.946,1.000,14.049,63.435,66964.678,11220.989,12.565,6.283,90.000,15.168,1.080,66961.537,11214.707,6.283,11.565,1.207
38,6,236.838,76.411,0.510,1,7784.326,7790.609,11327.796,11365.493,7787.467,11346.644,7787.467,11346.644,21.508,1.447,90.000,14.863,236.838,1.000,38.216,80.538,7787.467,11346.644,37.696,6.283,90.000,40.299,1.054,7784.326,11327.796,6.283,11.565,3.207
39,1,39.473,16.847,1.748,1,32808.514,32814.797,13156.076,13162.359,32811.656,13159.217,32811.656,13159.217,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,32811.656,13159.217,6.283,6.283,0.000,8.885,1.000,32808.514,13156.076,6.283,11.565,0.707
40,1,39.473,16.847,1.748,1,32751.970,32758.252,13262.883,13269.166,32755.111,13266.024,32755.111,13266.024,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,32755.111,13266.024,6.283,6.283,0.000,8.885,1.000,32751.970,13262.883,6.283,11.565,0.707
41,5,197.365,64.499,0.596,1,7853.436,7859.719,13583.303,13614.717,7856.577,13599.010,7856.577,13599.010,17.829,1.447,90.000,12.320,197.365,1.000,32.036,78.690,7856.577,13599.010,31.414,6.283,90.000,34.016,1.062,7853.436,13583.303,6.283,11.565,2.707
42,4,157.892,49.097,0.823,1,47277.685,47290.250,14726.763,14745.611,47285.538,14737.758,47285.538,14737.758,10.978,4.672,-71.565,2.350,197.365,0.800,22.653,123.690,47283.968,14736.187,18.848,12.565,90.000,22.707,1.002,47283.968,14726.763,6.283,11.565,1.807
43,1,39.473,16.847,1.748,1,47076.637,47082.920,14777.025,14783.308,47079.778,14780.167,47079.778,14780.167,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,47079.778,14780.167,6.283,6.283,90.000,8.885,1.000,47076.637,14777.025,6.283,11.565,0.707
44,3,118.419,37.184,1.076,1,47064.071,47076.637,14789.591,14802.156,47071.401,14796.921,47071.401,14796.921,7.398,4.431,-45.000,1.669,118.419,1.000,17.770,135.000,47070.354,14795.873,12.565,12.565,0.000,17.681,0.995,47070.354,14789.591,6.283,11.565,1.407
45,1,39.473,16.847,1.748,1,43966.676,43972.959,14802.156,14808.439,43969.818,14805.298,43969.818,14805.298,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,43969.818,14805.298,6.283,6.283,0.000,8.885,1.000,43966.676,14802.156,6.283,11.565,0.707
