Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,229.946,25.644,409,12,227,222,0.048,3.479,80516,3178202.660,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
2,216.683,28.888,369,1,219,222,-1.695,9.810,80546,3179386.848,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,217.232,24.810,366,24,217,216,-0.533,6.552,91032,3593300.022,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,230.822,27.748,372,50,226,227,0.642,3.681,91643,3617417.984,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,225.918,23.995,367,50,224,227,0.562,4.119,106365,4198538.501,288.000,0.000,288,288,288,NaN,0.000,-1.200
6,288.000,0.000,288,288,288,288,0.000,-1.200,1,39.473,225.918,23.995,367,50,224,227,0.562,4.119
7,224.898,23.654,359,22,223,222,0.204,5.317,87091,3437737.194,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,223.946,30.184,378,33,224,222,-0.873,6.714,73380,2896523.812,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,224.632,35.718,409,36,222,222,0.256,5.478,64196,2534004.397,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,224.799,34.072,383,22,226,227,-0.822,6.072,78504,3098783.120,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,222.386,26.672,393,12,221,219,-0.134,7.888,80073,3160716.151,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,218.865,20.591,318,0,219,222,-1.207,9.908,69841,2756829.102,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
13,219.108,45.436,449,7,219,222,0.366,6.489,44760,1766808.474,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,230.576,41.594,418,0,236,245,-0.774,3.187,58436,2306640.303,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
