Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,106036,4185551.907,33097.054,0.048,1,24898.534,25897.491,703.668,17026.249,25186.120,9192.859,25186.120,9192.859,9435.422,295.717,89.050,31.907,9599580.429,0.436,16344.279,87.047,25203.718,8873.502,16342.862,763.007,87.802,16492.306,1.009,25200.106,14073.357,175.917,248.513,46.875
2,81106,3201491.691,26626.630,0.057,1,1558.122,3719.387,1457.598,14010.530,1930.643,7698.126,1930.643,7698.126,7432.510,617.918,-85.582,12.028,13270523.710,0.241,12727.119,99.490,1965.352,7629.911,12724.840,1682.308,98.406,13241.610,1.040,1784.301,7822.022,163.351,234.723,40.531
3,100177,3954279.993,32311.261,0.048,1,28756.141,29535.202,2142.417,18169.710,29120.402,10760.935,29120.402,10760.935,9355.743,259.078,88.586,36.112,8309170.781,0.476,16027.323,90.112,29148.479,10155.389,16027.306,747.192,89.862,16189.476,1.010,29359.285,15631.479,175.917,238.938,46.015
4,79541,3139716.551,29602.154,0.045,-1,31118.455,32594.901,2839.802,16994.836,32065.868,10121.497,32065.868,10121.497,8087.774,386.941,86.345,20.902,9413860.280,0.334,14175.432,86.926,31968.625,9899.402,14175.185,881.443,86.587,14445.386,1.019,32425.267,14048.226,157.069,205.578,45.984
5,80114,3162334.541,28209.011,0.050,1,21556.111,23252.453,3361.271,17308.973,22410.648,10700.349,22410.648,10700.349,7973.690,208.738,-83.050,38.199,6182053.377,0.512,14030.328,96.221,22424.120,10338.344,14028.918,512.199,97.033,14253.133,1.016,21863.966,14085.923,163.351,219.286,43.627
6,98101,3872334.184,30996.187,0.051,1,7897.415,10152.922,3618.863,18207.406,9379.310,11389.018,9379.310,11389.018,8319.221,854.451,-83.873,9.736,16887468.019,0.229,14639.371,94.776,9219.717,10961.887,14639.150,1558.377,94.461,15136.488,1.034,9989.571,7784.326,157.069,251.604,48.184
7,77711,3067481.084,26951.184,0.053,1,4234.573,5334.054,3870.173,16818.919,4971.063,10508.436,4971.063,10508.436,7329.759,355.399,-87.860,20.624,8804635.034,0.348,12960.813,92.473,4875.276,10354.072,12960.529,823.830,92.094,13167.474,1.016,5164.420,7790.609,157.069,224.772,41.916
8,83964,3314305.333,26519.620,0.059,1,10793.762,12565.498,4039.807,16624.153,12050.277,10497.188,12050.277,10497.188,7175.406,504.827,-83.884,14.214,8842331.685,0.375,12681.988,97.114,12031.996,10377.582,12681.964,980.685,97.003,12901.086,1.017,12389.581,6892.175,150.786,246.157,42.779
9,73031,2882747.758,24760.232,0.059,1,41453.577,42119.548,4309.966,16724.677,41741.646,10720.506,41741.646,10720.506,6987.235,194.682,88.433,35.891,4903564.555,0.588,12417.931,88.695,41755.297,10520.524,12417.907,482.584,88.807,12517.838,1.008,41905.935,14670.219,163.351,228.309,38.316
10,72036,2843472.190,26147.311,0.052,1,15618.914,18766.571,5290.075,17484.890,17081.781,11450.151,17081.781,11450.151,7149.081,393.915,-79.751,18.149,8896251.712,0.320,12544.283,103.556,17157.739,11379.737,12536.028,829.897,101.477,12800.562,1.020,16611.588,14142.468,131.938,216.918,48.510
11,66702,2632923.566,21780.970,0.070,1,47277.685,48477.690,5478.557,15863.941,47958.392,10716.358,47958.392,10716.358,5936.224,172.369,85.276,34.439,4235406.221,0.622,10424.716,85.021,47946.113,10670.485,10424.716,470.031,85.003,10643.066,1.021,47968.787,11246.120,144.503,235.869,36.826
12,63691,2514070.565,21939.925,0.066,1,51499.692,52423.256,6012.591,16699.546,51883.144,11394.372,51883.144,11394.372,6050.203,395.117,-89.449,15.312,6189119.032,0.406,10689.622,91.280,51916.535,11350.143,10689.562,814.339,91.088,10895.633,1.019,51996.029,8004.222,138.220,224.766,39.414
13,2,78.946,28.760,1.199,1,1526.708,1539.273,15254.514,15260.797,1532.991,15257.656,1532.991,15257.656,6.447,1.447,0.000,4.455,78.946,1.000,14.049,26.565,1532.991,15257.656,12.565,6.283,0.000,15.168,1.080,1526.708,15254.514,6.283,11.565,1.207
