Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,3171928,125205300.914,98672.567,0.162,-3,0.000,10931.983,0.000,11987.485,5462.372,5999.469,5462.372,5999.469,7032.049,6346.503,-88.463,1.108,131046979.191,0.955,16223.688,47.637,5465.991,5993.742,11987.485,10931.983,90.000,17397.021,1.072,0.000,0.000,41170.853,2264.428,0.211
2,42934,1694730.899,14799.738,0.097,-1,1859.694,2663.886,1671.211,8425.166,2201.714,5183.712,2201.714,5183.712,3702.806,303.926,88.813,12.183,3897281.078,0.435,6754.703,90.853,2284.718,5050.627,6746.062,734.176,87.623,6903.574,1.022,2368.596,1671.211,41170.853,223.414,0.084
3,9,355.256,65.944,1.027,1,2324.617,2343.465,1979.066,2004.197,2333.343,1990.584,2333.343,1990.584,12.292,8.900,69.699,1.381,355.256,1.000,28.097,63.435,2334.041,1991.631,25.131,18.848,90.000,28.990,1.032,2324.617,1979.066,41170.853,14.358,3.521E-4
4,1,39.473,16.847,1.748,1,2330.900,2337.183,2023.045,2029.328,2334.041,2026.186,2334.041,2026.186,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,2334.041,2026.186,6.283,6.283,0.000,8.885,1.000,2330.900,2023.045,41170.853,11.565,1.079E-4
5,29811,1176727.601,11270.460,0.116,-1,3298.443,4756.041,2776.975,7916.264,4047.059,5273.476,4047.059,5273.476,2943.149,135.247,75.987,21.761,1394894.501,0.844,5340.281,74.231,4075.471,5333.602,5338.326,310.328,75.781,5443.463,1.019,3298.443,2776.975,41170.853,209.070,0.066
6,1,39.473,16.847,1.748,1,3411.533,3417.815,2814.671,2820.954,3414.674,2817.813,3414.674,2817.813,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,3414.674,2817.813,6.283,6.283,0.000,8.885,1.000,3411.533,2814.671,41170.853,11.565,1.079E-4
7,36392,1436498.972,13510.261,0.099,-2,8450.297,9593.757,2846.085,8864.959,9087.698,6057.481,9087.698,6057.481,3433.076,455.370,85.215,7.539,4308352.201,0.333,6020.762,91.435,9055.388,5862.747,6020.462,1122.598,90.863,6421.058,1.066,8613.649,2846.085,41170.853,204.488,0.078
8,2,78.946,28.760,1.199,1,8563.387,8575.952,2921.478,2927.761,8569.669,2924.620,8569.669,2924.620,6.447,1.447,0.000,4.455,78.946,1.000,14.049,26.565,8569.669,2924.620,12.565,6.283,0.000,15.168,1.080,8563.387,2921.478,41170.853,11.565,1.842E-4
9,2,78.946,28.760,1.199,1,8563.387,8575.952,2934.044,2940.326,8569.669,2937.185,8569.669,2937.185,6.447,1.447,0.000,4.455,78.946,1.000,14.049,26.565,8569.669,2937.185,12.565,6.283,0.000,15.168,1.080,8563.387,2934.044,41170.853,11.565,1.842E-4
10,1,39.473,16.847,1.748,1,8550.821,8557.104,2946.609,2952.892,8553.963,2949.751,8553.963,2949.751,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,8553.963,2949.751,6.283,6.283,0.000,8.885,1.000,8550.821,2946.609,41170.853,11.565,1.079E-4
11,38829,1532694.509,15891.469,0.076,0,6006.308,7916.264,3241.898,10247.163,7066.314,6915.961,7066.314,6915.961,4164.423,689.223,-74.699,6.042,6401088.681,0.239,7064.252,97.409,7108.051,6796.965,7037.135,1250.265,102.431,7549.440,1.069,7300.554,3241.898,41170.853,191.901,0.092
12,6,236.838,52.586,1.076,1,7074.375,7086.941,7470.188,7489.037,7080.658,7479.612,7080.658,7479.612,10.361,6.447,90.000,1.607,236.838,1.000,22.653,56.310,7080.658,7479.612,18.848,12.565,90.000,22.707,1.002,7074.375,7470.188,41170.853,11.565,2.758E-4
13,1,39.473,16.847,1.748,1,4737.193,4743.475,7796.891,7803.174,4740.334,7800.033,4740.334,7800.033,1.447,1.447,0.000,1.000,39.473,1.000,8.885,45.000,4740.334,7800.033,6.283,6.283,0.000,8.885,1.000,4737.193,7796.891,41170.853,11.565,1.079E-4
14,3,118.419,37.184,1.076,1,4636.669,4649.234,7840.871,7853.436,4641.904,7846.106,4641.904,7846.106,7.398,4.431,-45.000,1.669,118.419,1.000,17.770,135.000,4642.951,7847.153,12.565,12.565,0.000,17.681,0.995,4636.669,7840.871,41170.853,11.565,2.147E-4
