Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,308.097,20.205,409,0,311,314,-6.730,73.804,3171928,125205300.914,219.480,31.452,379,1,218,216,-1.442,11.147
2,225.519,33.746,354,2,226,221,-1.053,4.601,42934,1694730.899,308.097,20.205,409,0,311,314,-6.730,73.800
3,253.444,3.166,261,251,252,251,1.396,0.790,9,355.256,225.519,33.746,354,2,226,221,-1.053,4.601
4,249.000,0.000,249,249,249,249,0.000,-1.200,1,39.473,225.519,33.746,354,2,226,221,-1.053,4.601
5,209.032,40.798,348,1,214,214,-2.670,11.252,29811,1176727.601,308.097,20.206,409,0,311,314,-6.730,73.800
6,229.000,0.000,229,229,229,229,0.000,-1.200,1,39.473,307.175,22.594,409,0,311,314,-5.976,55.602
7,216.848,25.497,379,39,214,216,1.070,6.254,36392,1436498.972,308.097,20.206,409,0,311,314,-6.730,73.799
8,225.500,8.500,234,217,234,217,0.000,-2.000,2,78.946,216.849,25.496,379,39,214,216,1.069,6.254
9,223.500,6.500,230,217,230,217,0.000,-2.000,2,78.946,216.849,25.496,379,39,214,216,1.069,6.254
10,183.000,0.000,183,183,183,183,0.000,-1.200,1,39.473,307.062,22.458,409,0,311,314,-5.628,50.124
11,223.294,21.872,341,51,219,216,1.288,5.398,38829,1532694.509,308.097,20.206,409,0,311,314,-6.730,73.798
12,215.000,4.123,222,210,216,216,0.228,-0.893,6,236.838,307.072,22.249,409,0,311,314,-5.629,50.997
13,212.000,0.000,212,212,212,212,0.000,-1.200,1,39.473,307.175,22.594,409,0,311,314,-5.976,55.602
14,222.333,0.471,223,222,222,222,0.707,-1.500,3,118.419,209.032,40.798,348,1,214,214,-2.670,11.252
