Label,Mean,StdDev,Max,Min,Median,Mode,Skewness,Kurtosis,NumberOfVoxels,Volume,NeighborsMean,NeighborsStdDev,NeighborsMax,NeighborsMin,NeighborsMedian,NeighborsMode,NeighborsSkewness,NeighborsKurtosis
1,265.304,35.429,382,9,267,254,-0.736,2.385,56115,2215023.626,310.667,9.672,318,297,317,NaN,-0.701,-1.500
2,283.453,28.550,417,102,284,294,0.338,2.615,40926,1615469.249,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
3,267.198,35.459,398,25,266,248,-0.012,0.795,48285,1905950.562,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
4,284.677,30.166,416,43,286,294,-0.609,2.618,54499,2151235.367,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
5,281.796,34.596,408,8,281,278,-0.176,2.651,58907,2325232.055,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
6,277.245,32.474,393,49,283,294,-1.167,3.771,43980,1736019.586,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
7,259.628,36.274,382,76,260,252,-0.203,1.185,35912,1417551.964,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
8,267.857,28.986,450,52,269,271,0.266,4.367,45134,1781571.351,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
9,266.910,32.274,373,74,269,278,-0.215,-0.156,34619,1366513.462,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
10,286.067,34.112,404,16,290,305,-0.776,3.327,30524,1204871.802,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
11,265.615,30.313,383,61,267,256,-0.543,1.693,35307,1393670.840,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
12,310.667,9.672,318,297,317,297,-0.701,-1.500,3,118.419,265.304,35.429,382,9,267,254,-0.736,2.385
13,319.000,0.000,319,319,319,319,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
14,316.885,7.191,331,306,314,314,0.249,-0.721,26,1026.296,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
15,300.333,2.494,303,297,301,297,-0.382,-1.500,3,118.419,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
16,301.500,1.500,303,300,303,300,0.000,-2.000,2,78.946,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
17,308.000,5.831,314,298,311,298,-0.726,-0.973,5,197.365,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
18,324.000,0.000,324,324,324,324,0.000,-1.200,1,39.473,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
