Label,PixelCount,Area,Perimeter,Circularity,EulerNumber,Box.X.Min,Box.X.Max,Box.Y.Min,Box.Y.Max,Centroid.X,Centroid.Y,Ellipse.Center.X,Ellipse.Center.Y,Ellipse.Radius1,Ellipse.Radius2,Ellipse.Orientation,Ellipse.Elong,ConvexArea,Convexity,MaxFeretDiam,MaxFeretDiamAngle,OBox.Center.X,OBox.Center.Y,OBox.Length,OBox.Width,OBox.Orientation,GeodesicDiameter,Tortuosity,InscrDisc.Center.X,InscrDisc.Center.Y,InscrDisc.Radius,AverageThickness,GeodesicElongation
1,47329,1868214.438,19332.731,0.063,0,8142.442,10259.729,1130.895,9675.433,8683.499,5135.917,8683.499,5135.917,4917.400,817.302,-84.343,6.017,9879088.266,0.189,8616.599,97.415,8911.975,5301.854,8616.356,1586.400,97.846,9303.584,1.080,8286.946,6571.755,119.372,192.241,38.969
2,47995,1894503.412,19104.241,0.065,1,1401.053,3229.333,1771.735,10548.735,2146.607,6257.128,2146.607,6257.128,5191.916,404.857,-83.113,12.824,6806633.593,0.278,8841.747,96.938,2248.234,6113.291,8841.398,856.535,97.448,9259.605,1.047,2286.921,7451.340,125.655,195.560,36.845
3,37485,1479642.887,15671.026,0.076,0,51097.596,53566.717,1865.976,8217.835,53080.971,4797.946,53080.971,4797.946,3897.767,676.188,77.538,5.764,7077931.060,0.209,6746.763,70.300,52946.466,4803.747,6746.704,1579.189,70.539,7585.880,1.124,53441.062,6898.458,125.655,184.648,30.185
4,32568,1285554.477,13067.853,0.095,1,62708.116,63989.797,2268.072,8481.711,63091.644,5654.281,63091.644,5654.281,3610.915,322.424,81.235,11.199,3335462.825,0.385,6313.475,79.797,63106.675,5424.748,6312.961,744.316,80.528,6438.650,1.020,63493.460,7715.216,131.938,198.250,24.400
5,42430,1674836.540,15530.406,0.087,1,56079.816,57612.807,2374.879,9424.123,56507.701,6015.574,56507.701,6015.574,4099.908,546.855,85.767,7.497,6443008.936,0.260,7088.121,83.996,56713.256,5948.721,7087.612,1151.919,84.683,7551.953,1.065,56287.147,6182.225,125.655,221.187,30.050
6,36500,1440762.049,13939.850,0.093,1,4705.779,6339.294,2494.251,8487.994,5392.212,5619.301,5392.212,5619.301,3487.047,839.044,86.800,4.156,6164922.124,0.234,6000.114,87.359,5494.253,5508.579,5998.769,1547.377,88.573,6633.416,1.106,5409.447,7030.396,138.220,208.238,23.996
7,37327,1473406.164,14330.717,0.090,1,19702.700,20481.761,2676.451,9486.951,19931.324,6141.937,19931.324,6141.937,3939.387,299.710,-89.836,13.144,3925938.427,0.375,6824.283,93.642,20033.019,6075.708,6819.993,708.528,91.611,6957.605,1.020,20123.644,9141.400,125.655,205.483,27.685
8,41774,1648942.296,15704.207,0.084,1,33216.893,35214.807,2751.844,9851.350,33908.103,6478.208,33908.103,6478.208,4159.378,598.208,76.662,6.953,5611630.024,0.294,7250.417,78.047,33949.747,6392.101,7250.092,1153.692,78.590,7496.666,1.034,33951.975,7426.209,131.938,214.742,28.410
9,38266,1510471.248,14429.243,0.091,0,65868.339,67376.198,2883.782,9505.799,66484.002,6305.754,66484.002,6305.754,3851.851,292.226,80.073,13.181,4085172.238,0.370,6676.115,82.701,66539.974,6232.024,6676.040,818.587,82.431,6923.678,1.037,66603.420,7093.223,131.938,212.684,26.238
10,47638,1880411.575,17516.942,0.077,1,22661.875,24282.824,2927.761,10831.459,23330.898,6771.354,23330.898,6771.354,4602.571,779.151,85.178,5.907,8049675.721,0.234,7907.895,88.133,23448.004,6891.622,7907.051,1532.281,88.970,8484.313,1.073,23114.233,4240.855,131.938,219.262,32.153
